Model,Accuracy,F1 Weighted
XGBoost,0.3291139240506329,0.3229440764761303
Logistic Regression,0.27848101265822783,0.2815722202581527
Gradient Boosting,0.2911392405063291,0.2786642187819022
Random Forest,0.27848101265822783,0.24116654136938115
