Model,Accuracy,F1 Score
Random Forest,0.6835443037974683,0.7967479674796748
XGBoost,0.6835443037974683,0.7863247863247863
Logistic Regression,0.6329113924050633,0.7387387387387387
Gradient Boosting,0.5569620253164557,0.6601941747572816
